variant,n_days,BULL_days,BEAR_days,RANGE_days,TRANS_days,BULL_acc%,BEAR_acc%,weighted_acc%,mean_conf,cum_strat%,cum_hodl%,alpha%
current (sent=0.2),130,24,75,31,0,25.0,60.0,45.02655541760375,0.18861445758844875,-29.299159707293764,-41.57923062963136,12.280070922337593
"sent_bull=0.4, bear=-0.4",130,27,73,30,0,29.629629629629626,60.273972602739725,45.54843390402688,0.18743138195997508,-29.382251027115835,-41.57923062963136,12.196979602515523
"sent_bull=0.6, bear=-0.6",130,27,75,28,0,29.629629629629626,60.0,45.93215746246699,0.18732703008179138,-29.43491457915134,-41.57923062963136,12.14431605048002
"sent_bull=0.8, bear=-0.8",130,28,72,30,0,28.57142857142857,59.72222222222222,45.05900183843873,0.18776154192538871,-30.757102630168298,-41.57923062963136,10.82212799946306
"sent_bull=1.0, bear=-1.0",130,27,71,32,0,29.629629629629626,59.154929577464785,44.579054169119814,0.18858046508241627,-29.804675474371688,-41.57923062963136,11.77455515525967
"sent=0.8 mom=1.0 (boost sent, lower mom)",130,32,66,32,0,31.25,60.60606060606061,43.594265610040026,0.17475438833568852,-28.21457896128465,-41.57923062963136,13.364651668346706
sent=0.6 mom=0.8,130,35,59,36,0,31.428571428571427,55.932203389830505,39.58921917849783,0.16441474180648252,-29.076920670956564,-41.57923062963136,12.502309958674795
contrarian: sent_bull=-0.4,130,25,75,30,0,24.0,60.0,44.65580361773449,0.1965990728991807,-30.43665132928657,-41.57923062963136,11.14257930034479
contrarian: sent_bull=-0.8,130,26,73,31,0,26.923076923076923,58.9041095890411,43.86220020751902,0.20539785398496638,-30.92628728652198,-41.57923062963136,10.652943343109378
